product_id,product_name,category,price,created_at
1,Stop,Clothes,822.54,2026-07-15 14:37:08.997778
2,Cultural,Sports,262.26,2025-08-27 00:38:54.724890
3,Crime,Home,529.32,2025-04-07 00:40:09.459606
4,Test,Books,1334.63,2026-07-09 09:12:17.373674
5,Population,Beauty,719.57,2025-08-28 00:30:03.788253
6,Less,Beauty,109.59,2026-07-18 05:35:42.136916
7,Less,Sports,392.6,2025-10-16 05:05:55.770238
8,Itself,Beauty,1075.83,2026-05-04 04:43:47.685076
9,Number,Sports,16.58,2025-12-10 17:13:18.914059
10,Tell,Clothes,687.59,2024-10-15 02:29:25.995909
11,Field,Clothes,523.95,2024-08-18 15:22:11.536538
12,Than,Home,293.4,2026-02-22 22:04:11.556863
13,Around,Books,858.62,2025-09-12 18:36:51.579185
14,Ability,Sports,955.7,2025-11-20 10:20:04.255575
15,Out,Sports,220.24,2026-06-24 16:38:14.980582
16,Send,Sports,875.71,2024-09-10 09:48:07.420269
17,Compare,Home,818.73,2026-07-26 09:57:00.455372
18,Oil,Electronics,1086.85,2024-10-03 11:50:28.905669
19,Man,Sports,1185.56,2025-10-11 17:44:57.549784
20,Most,Beauty,277.83,2026-04-14 19:01:44.267840
21,Those,Sports,949.61,2026-01-25 16:38:27.283537
22,Beat,Sports,373.88,2026-03-31 08:54:16.691375
23,Require,Sports,1193.2,2025-11-04 06:05:48.133880
24,Worker,Clothes,1458.23,2024-12-23 12:00:29.191252
25,Purpose,Beauty,624.58,2026-01-16 22:38:21.411227
26,Program,Clothes,1461.16,2026-05-11 16:08:17.035672
27,Threat,Books,915.9,2026-06-30 20:36:33.914513
28,Think,Home,48.98,2025-06-04 01:47:24.509544
29,Ahead,Beauty,555.59,2025-08-20 00:10:33.894080
30,Military,Electronics,455.74,2026-07-08 13:53:12.955591
31,Interesting,Books,1462.02,2024-08-06 19:13:56.735897
32,Arm,Books,271.93,2026-06-22 12:22:14.405743
33,Record,Books,1381.39,2025-01-13 12:46:36.550317
34,Thing,Beauty,792.08,2025-11-14 09:54:14.221104
35,Else,Clothes,1298.53,2026-03-05 07:05:04.602699
36,Floor,Home,713.4,2026-07-06 23:12:15.316004
37,Which,Electronics,802.02,2026-04-05 10:56:08.210104
38,Audience,Clothes,90.95,2026-01-28 07:41:43.719008
39,Same,Books,365.89,2024-11-27 03:42:58.790690
40,Cost,Beauty,583.25,2024-11-09 03:07:58.102470
41,Price,Sports,513.61,2024-08-30 03:07:53.215261
42,Adult,Sports,147.54,2026-03-21 01:14:39.648364
43,Seven,Electronics,1120.02,2025-12-25 23:29:58.131140
44,Along,Electronics,539.43,2025-02-04 13:31:19.576692
45,President,Home,1376.17,2025-12-09 10:49:28.078140
46,My,Beauty,19.33,2025-05-22 20:35:15.047034
47,Bit,Beauty,1314.07,2025-01-06 03:23:25.950677
48,Challenge,Beauty,886.62,2025-08-01 18:40:38.325380
49,Card,Clothes,1232.22,2026-07-30 15:46:08.529920
50,Describe,Sports,743.32,2025-11-28 04:14:40.859081
51,Administration,Home,433.53,2025-01-16 10:16:53.782786
52,Federal,Books,131.55,2025-09-01 23:51:02.921795
53,System,Home,771.22,2025-09-28 02:25:46.000417
54,Assume,Home,1449.81,2024-08-13 09:11:34.253519
55,Get,Books,230.04,2024-11-26 04:20:17.381713
56,Eye,Beauty,76.91,2025-07-22 06:58:28.011209
57,Treatment,Books,1421.61,2026-07-24 15:46:57.420374
58,Part,Clothes,926.96,2026-06-22 20:01:14.345119
59,American,Home,445.2,2025-11-04 21:44:49.055320
60,Task,Electronics,122.87,2025-04-24 13:20:42.455428
61,Class,Sports,1057.75,2025-07-18 19:18:39.967349
62,Indeed,Home,885.44,2026-01-31 21:36:48.856178
63,Yet,Clothes,424.48,2026-01-01 03:49:18.330545
64,Professor,Sports,201.36,2026-06-02 04:33:27.010278
65,Evening,Electronics,192.03,2024-08-29 19:57:20.580760
66,Court,Books,57.77,2024-09-30 20:59:27.331756
67,Perform,Sports,555.08,2025-05-07 15:48:22.015993
68,Visit,Books,1056.52,2025-12-10 22:18:33.267819
69,Girl,Sports,1286.9,2026-02-02 16:34:14.640548
70,Parent,Beauty,864.43,2026-06-24 01:32:13.204886
71,Material,Beauty,858.21,2026-05-31 03:55:16.160534
72,Public,Electronics,876.35,2025-11-11 14:59:51.814412
73,Say,Electronics,1283.18,2026-06-30 14:32:27.174211
74,Evidence,Home,1039.11,2025-10-11 03:01:11.722120
75,Interest,Home,882.53,2025-02-22 17:08:15.391443
76,Dog,Clothes,1420.86,2024-10-02 01:09:36.394009
77,Must,Beauty,110.23,2024-11-13 18:35:37.806682
78,Director,Beauty,209.31,2026-03-13 17:03:59.048176
79,Its,Books,829.66,2025-03-03 18:37:44.546135
80,Contain,Clothes,886.4,2024-12-28 04:27:04.438982
81,Fall,Home,1235.61,2026-02-12 21:42:49.315787
82,Take,Sports,1021.18,2024-10-14 16:54:36.469986
83,Not,Electronics,496.83,2026-01-26 08:09:01.231976
84,Interest,Sports,1171.33,2024-10-26 04:01:18.738982
85,Great,Clothes,1224.78,2025-01-13 01:52:18.612200
86,Especially,Home,1381.52,2025-04-04 10:58:24.402643
87,Property,Clothes,1336.78,2024-11-09 22:47:29.043145
88,Push,Clothes,777.55,2024-09-25 14:55:26.709124
89,Local,Electronics,594.16,2025-03-23 20:04:20.883355
90,Law,Sports,550.88,2025-01-26 23:16:38.481035
91,Message,Electronics,379.54,2025-02-05 22:42:53.770350
92,Effect,Home,411.13,2025-08-10 08:55:08.745790
93,Live,Home,987.33,2025-06-23 10:00:50.312587
94,Turn,Beauty,663.29,2025-03-09 01:17:07.122379
95,Worry,Beauty,1065.27,2024-10-26 04:02:05.081802
96,Painting,Books,314.66,2026-01-07 16:55:06.635401
97,To,Books,960.5,2025-02-26 13:51:38.489586
98,Of,Sports,149.52,2026-02-03 14:36:09.445526
99,Sister,Home,1478.11,2025-06-16 21:09:16.112969
100,Our,Sports,1177.69,2025-01-26 09:08:40.822256
